R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,
32247217,29211620,29065490,29373946,30173722,29583997,28917139,29488085,29992359,31460386,29006000,29188762,29167197,29807375,39517363,29945909,29068076,30377583,32968103,51267183,
40263956,31319919,33020418,35527309,32124120,34190420,33664862,31853074,30944372,35060249,30698786,30351409,31181196,30597431,30687617,30870142,35664847,40299971,36487099,35512580,
43527563,45892582,38642243,42037902,46516189,34593412,52858312,37081877,35832953,41079469,39156801,41591397,38870966,39136700,44522742,41625834,40039990,39115572,41173301,32105797,
34333255,33715946,33629691,33543034,33081662,32712747,34685917,32860270,32722958,32623134,32576684,32620777,32502462,33175935,32198839,32603686,32158402,32215687,31872182,32090596,
35113427,33980150,33225354,33470757,33844081,33501298,33582942,33725355,33375182,33101469,34050691,33384946,33217484,34088698,33248068,33238459,33329752,33224236,33766191,33366525,
37242142,35289662,36458130,36038876,35482108,36121390,36378002,35477555,34800671,35725134,35463825,35607944,35412756,35541796,35522153,35258746,35452207,35709636,35623956,35694947,
37363750,36549434,36941917,35944936,36475513,36428332,36261930,36013802,36012157,36566822,36092458,36345661,36017497,36228479,35793221,35964978,35774694,35655776,37212677,35714435,
38744543,37139386,41969343,42716625,51711798,37350997,39015121,37276419,37684408,37283549,37968952,37111979,38040183,37471428,37035999,37284665,37676878,37460896,37157190,38167830,
45432725,54855086,41136467,39274977,38315792,38444564,38380361,39848201,38695772,39012355,38452921,38861824,38639458,39059386,38745203,38919661,43933942,48629442,38581777,39227975,
46195820,40791909,39446563,39613161,39729897,39395408,39766519,40354619,39852908,40562332,40803648,41453258,41126529,45931665,41974933,41200556,42074942,42983301,41893245,41793709,
43328009,40750610,41219726,40846996,42201176,54226340,64533083,59502655,55666189,41181948,44569611,43360760,43482428,44747440,56823819,58283561,62274844,47587582,43333105,43951852,
46917017,43092305,42773013,42606240,43754658,42784094,42239204,42966707,43431793,44274783,43640374,43259697,43986065,44580330,56939686,65391635,65888753,49642421,42308065,43853867,
46725224,48803348,56091597,66849583,68040269,45217335,45029864,44950674,44888040,44713466,44753472,44826989,45650604,45431917,45472025,47580698,46785882,46322427,44927871,44596165,
47562141,45696961,45437287,46452827,47907005,47815805,47092279,46489086,47607917,45735863,45973399,45922097,46537334,45576976,45409688,45915464,45712253,45794757,46123145,45455451,
48639101,46888756,49139142,58878301,69730972,65361647,51599579,47184674,47149474,46935390,50138532,69022593,71177050,61622088,47839253,46906500,47245249,47458559,46643180,47058239,
49346071,48762479,48157071,47997119,48136870,64846776,70462633,71925540,68869686,71353055,55933625,48276500,48355398,48351922,47882230,47891254,50789606,49236280,48358431,48261003,
51890841,49795300,50285510,49816971,50318064,49736213,49748833,50685001,49901436,51029179,49928052,50118464,50321054,49494240,49878983,49954782,50747659,58088940,57641044,52372373,
57789628,53418298,53753475,54136745,52565890,61007413,81584192,73753941,64452058,80945699,80858958,84331841,76378367,62060888,64560074,82375218,76289683,60296872,52301497,59806303,
76242574,53325907,53864922,54860369,54628407,53862017,54733348,56225962,53376355,53328385,54819630,53728708,55317359,54696617,56841363,87064763,76579494,85810413,82789352,76863435,
65246469,61524033,73944323,86434962,72027982,56904463,55155969,54925459,54668937,54948211,54988805,55472727,55806477,55819117,55606715,55844528,55617174,55666045,54928070,55188690,
59255028,58924665,57616520,57454121,57706837,57671921,64405518,63667577,57654020,57492592,57451619,61847086,57491454,56921159,57237891,57697514,57448553,57109848,57292360,57359615,
61616748,84269598,75872291,58515372,58149567,58163345,62272818,70669156,59831480,58512262,58212843,58397661,58312184,58176008,58278868,59032864,58339553,57941527,58776155,59072282,
62026750,60233708,60283816,60075075,61461732,60297726,66728835,60293933,61581322,67049538,59887584,59697188,65190935,60855897,62855842,63108748,64948156,66740583,62865033,60215101,
63534737,63400401,63941285,63271294,61973786,61681683,64036520,63865378,63714600,62207315,61583350,61413355,61947542,62216748,62705635,61866520,63657406,61635096,61975497,61501538,
65459017,64097323,64503468,63766279,64318094,65923856,64377975,63883155,64183850,65171654,64404904,64603957,66480769,67565312,68045566,67155803,67112015,67822193,65692830,64458430,
68016951,70768185,68218002,66960658,65313625,69399178,70441467,89702625,87318650,91455667,66777332,89549213,73011795,68184140,75493039,69307140,71500588,72005826,71324406,67280675,
71329965,70607111,68303435,67035078,68953605,69606663,68589127,67606096,67801509,69187642,68914847,72833656,75239126,67380590,67477573,68062161,67739091,67252699,67210316,69851800,
72776547,69490829,68904894,69680152,72152411,69050295,73778146,68975654,69655888,70338751,72532049,73223417,71267455,72442751,83740388,80439276,80170666,78558940,77541049,79214693,
85376437,84784405,89156077,85136671,84119800,84690917,89332738,85336552,87134277,87153463,82691713,99081549,86957029,86239044,87823278,83675923,80088852,82445258,76422555,72728327,
77088796,74376863,76164381,78511388,74815880,77401745,73323083,73452710,87955176,76899261,73514313,74111486,73490582,74290899,72932383,73592653,73570512,73609584,73205303,73771809,
92184437,91517999,91588599,91690134,94714123,90851443,89012543,83478666,78163029,77603345,78415288,78036910,78110154,78250212,77473096,77803925,78212237,79575137,78100788,78666595,
79786836,77955189,79468085,80090746,81293803,86093999,81680996,82840776,85592871,83793151,84712563,81462859,78118594,77396847,81755701,78538996,81511958,81397305,81301003,82068488,
85436233,85298522,84426165,79594909,79556284,83565703,89590067,89589418,83399712,83175191,80118201,79091788,83196676,87334420,80523952,80408904,82820822,79092341,84497680,84315178,
88856364,84976276,82647084,82034527,85246220,82303302,86837554,86880668,88663860,82388374,82203228,82253549,81856811,85969988,91275218,93473820,90728219,132359597,103408759,95756600,
88727522,91130912,92628515,85949000,85434463,85207565,86396526,86796653,97071574,86859417,96945378,107919489,122112501,97788433,101122264,123559501,100842741,84750093,84860794,86286554,
88835451,85982939,113291039,108612118,86310938,116700436,105644620,103220024,103660762,97649483,129180425,105750381,86594983,90693356,113825866,87820305,117882982,104203196,88351320,86156520,
90705118,88222340,88677097,89058281,87944027,88717574,89204078,89946779,109391118,97921084,96736947,89425906,91434168,97561010,91806322,100325054,93372889,88578184,93897848,98665976,
133496703,176345831,159585723,115589672,107598911,110514026,114109533,136504672,130124403,125998209,129025478,137648095,118301768,103488410,93462673,102726357,106649599,97809884,91004906,92209696,
98009230,94547216,95299162,105518923,111941228,98909928,97369014,94354360,94261069,94175698,95457495,95351238,95596718,94923917,95080520,97999539,96982402,99239011,109142467,95165181,
100701218,101631212,100747301,104667473,97503388,97368381,100858525,98263792,96469832,96445193,95333460,96518199,96696259,96446842,96070709,96393346,95935622,95765820,96731770,95767104,
102679499,100375336,100750846,99970813,101399235,99814411,99719967,101074318,100522059,99713340,100645629,99747559,100764197,100675472,99704688,100515502,100058651,100238357,99931047,99915018,
105259484,104106962,104286106,104293530,103498962,104299999,103824563,103762675,104099541,102218938,104565576,105009358,104468907,104362287,105353392,129708596,104935666,105894560,105034088,104133127,
