R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,
22396780,22832131,22040276,22089680,21054436,20998289,21337582,21536893,21849540,21654659,21646458,21911921,21582831,22131902,22331256,22138573,21890172,21930219,21381577,21200062,21298739,21099617,21275393,21361845,21807325,21226405,20903012,20976601,21198796,21156098,21224095,21514799,21514470,21346421,21375304,21384645,21542146,21279282,21358004,21002053,21141923,21054759,21445854,21649338,21061091,21214950,21225650,21041525,21783284,21974598,
23511929,23705912,22253614,22882520,22678594,22696746,22334843,22123509,22594775,22547902,22813417,22159680,22168426,22176407,22390896,23011106,22007814,22386337,22432644,22321594,22321027,22166810,22099845,22179745,22324352,23574329,22288604,22254435,22333975,22336298,22880454,22847137,22711035,22285370,23129068,22365283,22975790,22306318,22293966,22243385,22333289,22270721,22202590,22495676,22332018,22929429,22347545,22287518,22111586,23390007,
25505006,25196924,25229181,23593011,23371776,24008176,23796394,23837597,23450366,24084960,23357663,23264805,23197559,23269970,23299005,23105893,23416906,23404849,23356858,23246338,23249588,23239553,23291220,24708595,23170642,23123159,23035084,23263556,23337559,23500418,23331293,23544321,23201086,23587499,23321273,23241187,23262133,23313634,23451738,23388568,23398212,23404917,23399503,23260142,23094852,23265801,23373349,24722351,23194709,23550918,
26429689,24683578,24483823,24640400,24518379,24498147,24662336,25086938,24525620,24541210,24657285,24474420,25054206,24477948,24724348,24448343,24467814,24493966,24663022,24558926,26362956,24511587,24565775,24589653,24422737,24398950,24449191,24870388,24470021,25399808,24343751,25005663,24503896,24500649,24547707,25250081,24741797,24449439,24703777,24456265,24417807,24542232,25411829,24514699,24356557,24549173,24530008,24482775,24631109,24247940,
28898568,26660048,25679173,25656572,25568067,25628660,25918106,25745247,25687289,25552672,25688692,25722104,25505354,25632445,26655946,25620117,25843622,25491211,25824797,25703909,25641199,25649753,25479998,25507360,25494543,25637994,25519867,25675642,25580202,25324526,25616332,25613170,25527244,25784874,25370544,25447028,26180713,25787381,25779618,25470404,25609048,25861058,25550300,25664555,25737974,25698827,25771488,25634066,25592661,25698888,
29995291,28429506,27836509,27097180,27113041,26840052,26860012,28072672,28323803,26936137,26732656,26956396,26965776,27166936,26917991,26923174,26991848,28049831,27761260,26889842,26960895,28078206,26962480,28106417,27042095,26854042,26977493,26924350,28249365,27354846,27106054,27050595,27068243,26805254,27042753,26900814,26864409,26777031,26921540,27557948,27331762,27035534,26886271,27031248,26935325,26934706,26864857,26958844,27169717,28660082,
30768690,28125092,27847694,28226865,28157116,27964673,27983208,28224331,28209671,28083773,27877396,28143321,28327160,28164755,28215325,28111796,27993906,28065902,29512079,29812083,28007676,31330112,28069565,28154005,28227448,28094877,28152282,27973322,28217467,28100602,28841617,28968456,28887393,28209888,28184411,28980966,27962392,28132066,28076234,29760287,28035015,28060176,28075681,27916500,27877206,28026189,27914429,28313498,27903422,28090549,
31656752,29640089,29469460,29381244,29338568,29785060,29218619,29194860,30560550,29361036,29479494,29459588,29375600,32651680,29482906,29248324,29240074,29510371,28959552,29252749,29332316,32752581,32863812,32769340,32671589,31711002,29383743,30395134,29456355,29282490,29356842,29386572,29979150,29480775,29375050,29445851,29134930,29434034,29180013,29232927,29499144,29195795,29224878,29473795,29198940,29211398,30291139,29333311,29172505,29481519,
33092716,30684371,30701262,31116516,30797383,30618870,31572046,30503153,30877062,31005170,30758722,30615653,32080010,31424609,31165531,32199881,30671146,31563306,30584780,30604143,30424750,31525300,31784656,30687116,31081867,31466453,30555767,30778745,30814969,31075564,31450650,31688674,30594264,32722803,30727547,31712814,30907751,30919574,31889599,31640150,30817619,31562575,30777498,30598579,31425163,30853716,31779954,30771429,31636935,30983259,
36693585,32770656,33321694,33093168,32498425,32193028,33185152,32253549,32515540,32409140,32513631,32335628,33237072,32400296,32555938,32565426,32340630,33603401,32525576,32542184,32390533,32506246,32042611,32527680,32515441,32240080,32709454,32737674,32404437,32676433,32584805,32279782,32663044,32590221,32500586,33864735,32490980,32476347,32510075,32372210,32619165,32614413,33651560,32549362,33664808,32576926,32307354,32586032,32305336,32758880,
