R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,
2360818,2422806,2573424,2387276,2362938,2363840,2687593,2544902,2427534,2419458,2477681,2401648,2359274,2364597,2366863,2639683,2657241,2593311,2459526,2375418,2371701,2359530,2378474,2406174,2444400,2429424,2409463,2416761,2452546,2430575,2436940,2409526,2716097,2630430,2468543,2619183,2569900,2394066,2406554,2566609,2403759,2401401,2507204,2404234,2421849,2395146,2602289,2397662,2363772,2374510,
2500218,2501011,2932481,2524770,2504217,2538845,2996507,2554413,2478498,2476716,2487599,2480887,2478139,2511737,2481889,2594142,2564958,2562633,2573136,2574616,2545273,2482718,2552254,2471401,2519657,2504920,2528567,2512085,2543089,2508982,2623398,2649761,2519414,2513057,2518385,2522664,2541949,2679337,2694817,2665419,2703367,2611637,2511581,2529140,2767526,2519692,2547736,2528974,2532837,2516873,
2655586,2629908,2829237,2675997,2649647,2633251,3164440,2687737,2626021,2689534,2727515,2763243,2635479,2638985,2708282,2670576,2677971,2687265,2642263,2641873,2655478,2642755,2631778,2653081,2639465,2639437,2636986,2639070,2817990,2780834,2639014,2593085,2626740,2593317,2596626,2590977,2593810,2646361,2612104,2592692,2625627,2601308,2597011,2646237,2635100,2629814,2633669,2595909,2594849,2864941,
2759664,2988194,3199868,2761553,2733739,2893545,2936551,2782140,2823665,2741735,2785542,2752556,2791582,2779411,2778538,2758214,2791546,2928794,2811231,2729728,2722040,2718002,2712850,2717977,2729253,2732352,2726703,2731742,2756958,2922130,2928426,2848982,2782445,2803787,2756490,2756706,2782162,2751912,2788450,2764664,2783085,2777890,2761860,2756994,2759950,2764813,2769723,2766528,2756293,2758021,
2945595,2845073,3410326,2929960,2938344,3177641,3075107,2895852,2887012,2896317,2898480,3130050,3139426,2895994,2851284,2846585,2845905,2844580,2850605,2849408,2907721,2889440,2900594,2886637,2904962,2909609,2899689,2879148,2893070,2881822,2911470,2883659,2878949,2847630,2857875,2846141,2854848,3229763,2884825,2883358,2888780,2968120,2882955,2921446,2885794,2883101,2877251,2905884,2880579,2917049,
3014775,2981775,3652026,3012872,3014068,3570002,3138073,3029573,3018394,3012991,3022776,3008611,3087097,3017415,3022541,2973869,2975989,3020034,3028285,3486575,3031109,3071801,2981677,2984283,2978058,3015343,3019356,3021057,3027751,3022351,3016270,3028064,3021236,3013438,2974147,2976481,2979836,3017388,3015541,3025988,3019414,3011347,3038392,3011617,3108918,3049041,3024670,3129708,3032038,3351881,
3215670,3208207,3751783,3510587,3237967,3408154,3236693,3152913,3155319,3119349,3132377,3212591,3204156,3177118,3244896,3157726,3259695,3164040,3377823,3163206,3156215,3279554,3113363,3332220,3245447,3395738,3298822,3228056,3231489,3288882,3218609,3299664,3222440,3194060,3102349,3185794,3130110,3263253,3200477,3209737,3113653,3227883,3179120,3130259,3149568,3175024,3185725,3219668,3211259,3232093,
3493511,3382558,3389282,3500887,3365946,3888460,3335671,3352783,3306075,3253030,3328687,3320764,3288067,3282901,3291290,3256918,3294564,3276168,3293225,3291692,3305922,3279842,3629580,3287018,3291293,3281919,3289960,3362170,3308196,3287660,3299011,3292647,3286727,3241635,3308777,3533185,3269592,3294578,3285959,3263828,3274288,3543756,3467178,3290074,3298785,3622048,3562285,3293652,3685414,3345792,
3657169,3453629,3758228,3448462,3445359,3660989,3453726,3435799,3426450,3480302,3435424,3450809,3436076,3407427,3666330,3445408,3512416,3420507,3399062,3430175,3431105,3441424,3488096,3489315,3534368,3525413,3477544,3437472,3446457,3434504,3437129,3448485,3386930,3421036,3426439,3458109,3447020,3428622,3454575,3433914,3438728,3430190,3441164,3392565,3418421,3472051,3433943,3437662,3398618,3432485,
3593212,3579811,3884585,3594581,3669511,4342782,3573842,3592229,3594184,3581908,3612156,3596513,3768025,3570715,3575917,3592785,3592793,3608699,3853853,3658010,3655563,3680069,3634166,3656201,3630253,3585837,3577473,3581168,3651092,3580315,3593384,3586918,3757247,3583312,3594375,3600960,3579485,3578025,3580067,3549046,3620665,3590757,3575130,3580624,3584844,3632038,3588352,3578849,3589386,3576024,
3734518,3736539,4032850,3830511,3761479,4250867,3840115,3732212,3742042,3882614,3780406,3823046,3843204,3822736,3740401,3885359,3946930,4166178,3833656,3757692,3749279,3834159,3731466,3997239,3710818,3749310,3748284,3740893,3748952,3758122,3770376,3834261,3861247,4016048,3855273,3790914,3845120,3748364,3919797,3823702,3759898,3732425,3730873,3745145,3758177,3728150,3719704,3755089,3726952,3791818,
3989216,4314142,4034055,4273772,4053610,4033232,3954253,3946822,3888663,4110791,3926846,3957362,3878317,3881896,3879417,3930566,3969260,4028791,3900101,3885014,4137605,3945431,3896315,4070476,4120340,3930464,4046150,3961957,3949546,4070690,3942212,3890144,3886963,3896016,3878157,3892974,3887059,3895360,3891437,3905110,4065224,3958601,3883491,4050290,3957330,3944907,4056703,3943475,3999102,3902406,
4098609,4253242,4217163,4137178,4415452,4171413,4084573,4412365,4038526,4311307,4197682,4070196,4215552,4124504,4186839,4097279,4044900,4042680,4076286,4062472,4050332,4135775,4043024,4062909,4030526,4123389,4283833,4772829,4174030,4039805,4029236,4047275,4078008,4152428,4119771,4175612,4034484,4333362,4042296,4078618,4250674,4054631,4066517,4064005,4042231,4040350,4289942,4057189,4039358,4106955,
4463804,4496055,4301316,4379282,4663538,4348815,4364598,4232582,4221705,4248271,4202825,4215496,4230049,4199703,4203470,4215858,4207534,4197704,4202063,4226187,4216764,4234189,4207909,4257531,4239986,4262433,4220636,4210603,4199778,4239172,4220816,4212413,4198144,4232026,4195894,4216969,4218668,4220350,4221680,4234391,4210363,4243368,4214441,4228392,4208372,4208544,4209151,4378181,4224407,4219671,
4378851,4654006,4514369,4452102,5032213,4387460,4366188,4383318,4427335,4389713,4416138,4371848,4379814,4468608,4415715,4447988,4518360,4423271,4384065,4379718,4378995,4393441,4370991,4436134,4390255,4385122,4412758,4381684,4381130,4380897,4388758,4570964,4994552,4430005,4415320,4390859,4390428,4477734,4421228,4369082,4618452,4565169,4543780,4385768,4382850,4375785,4384510,4417003,4400210,4379582,
4558303,4839839,4617725,4626995,4949896,4674558,4600960,4588725,4582956,4580627,4727577,4611716,4617887,4551665,4566047,4577261,4572853,4556245,4616401,4569326,4544074,4566597,4713642,4545846,4562924,4597200,4566680,4638170,4589710,4597595,4546247,4568130,4555173,4566960,4567169,4556064,4554130,4554979,4562130,4551797,4595370,4561178,4576958,4568315,4590252,4548774,4610124,4576139,4558450,4550449,
4725012,4886511,4786199,4756267,5039811,4863014,4762302,4748538,4778731,4737853,4729068,4776951,4735799,4728789,4729845,4744127,4734844,4735997,4727972,4747015,4741651,4760271,4746760,4723539,4732591,4745814,4746725,4768159,4785611,4776945,4729429,4933173,4855931,4759718,4816009,4741034,4763908,4748949,4739998,4735989,4727203,4732539,4745394,4727260,4747662,4749885,4733060,4733601,4753328,4739080,
